catname,cID,mID,field,required
Apparel > Backpacks & Bags,110616,18785,Size,1
Apparel > Backpacks & Bags,110616,23041,Age Group,1
Apparel > Backpacks & Bags,110616,22281,Color,0
Apparel > Backpacks & Bags,110616,18787,Gender,0
Apparel > Backpacks & Bags,110616,24435,Sport,1
Apparel > Backpacks & Bags,110616,24834,Team Issued,0
Apparel > Backpacks & Bags,110616,23961,Bag Type,0
Apparel > Backpacks & Bags,110616,24863,Bag Use,0
Apparel > Backpacks & Bags,110616,24078,Capacity (Liters),0
Apparel > Base Layers & Compression,110220,18785,Size,1
Apparel > Base Layers & Compression,110220,23041,Age Group,1
Apparel > Base Layers & Compression,110220,22281,Color,0
Apparel > Base Layers & Compression,110220,18787,Gender,0
Apparel > Base Layers & Compression,110220,24435,Sport,1
Apparel > Base Layers & Compression,110220,24834,Team Issued,0
Apparel > Base Layers & Compression,110220,24817,Compression Type,0
Apparel > Base Layers & Compression,110220,24853,Compression Use,0
Apparel > Hats,110224,18785,Size,1
Apparel > Hats,110224,22281,Color,0
Apparel > Hats,110224,24435,Sport,1
Apparel > Hats,110224,23041,Age Group,1
Apparel > Hats,110224,18787,Gender,0
Apparel > Hats,110224,24837,Clothing Style,0
Apparel > Hats,110224,24826,Hat Type,0
Apparel > Hats,110224,24834,Team Issued,0
Apparel > Jackets & Coats,110225,18785,Size,1
Apparel > Jackets & Coats,110225,23041,Age Group,1
Apparel > Jackets & Coats,110225,22281,Color,0
Apparel > Jackets & Coats,110225,18787,Gender,0
Apparel > Jackets & Coats,110225,24435,Sport,1
Apparel > Jackets & Coats,110225,24834,Team Issued,0
Apparel > Jackets & Coats,110225,24837,Clothing Style,0
Apparel > Jackets & Coats,110225,24844,Hooded,0
Apparel > Jackets & Coats,110225,24859,Liner,0
Apparel > Jackets & Coats,110225,24821,Jacket Type,0
Apparel > Jerseys,110219,18785,Size,1
Apparel > Jerseys,110219,23041,Age Group,1
Apparel > Jerseys,110219,22281,Color,0
Apparel > Jerseys,110219,18787,Gender,0
Apparel > Jerseys,110219,24435,Sport,1
Apparel > Jerseys,110219,24834,Team Issued,0
Apparel > Jerseys,110219,24837,Clothing Style,0
Apparel > Jerseys,110219,24115,Jersey Type,0
Apparel > Other,110230,18785,Size,1
Apparel > Other,110230,23041,Age Group,1
Apparel > Other,110230,22281,Color,0
Apparel > Other,110230,18787,Gender,0
Apparel > Other,110230,24435,Sport,1
Apparel > Other,110230,24834,Team Issued,0
Apparel > Other,110230,24837,Clothing Style,0
Apparel > Pants,110221,18785,Size,1
Apparel > Pants,110221,23041,Age Group,1
Apparel > Pants,110221,22281,Color,0
Apparel > Pants,110221,18787,Gender,0
Apparel > Pants,110221,24435,Sport,1
Apparel > Pants,110221,24834,Team Issued,0
Apparel > Pants,110221,24837,Clothing Style,0
Apparel > Pants,110221,24803,Pant Type,0
Apparel > Shirts,110223,18785,Size,1
Apparel > Shirts,110223,23041,Age Group,1
Apparel > Shirts,110223,22281,Color,0
Apparel > Shirts,110223,18787,Gender,0
Apparel > Shirts,110223,24435,Sport,1
Apparel > Shirts,110223,24834,Team Issued,0
Apparel > Shirts,110223,24837,Clothing Style,0
Apparel > Shirts,110223,24132,Shirt Type,0
Apparel > Shirts,110223,24869,Sleeve Length,0
Apparel > Shorts,110222,18785,Size,1
Apparel > Shorts,110222,23041,Age Group,1
Apparel > Shorts,110222,22281,Color,0
Apparel > Shorts,110222,18787,Gender,0
Apparel > Shorts,110222,24435,Sport,1
Apparel > Shorts,110222,24834,Team Issued,0
Apparel > Shorts,110222,24837,Clothing Style,0
Apparel > Shorts,110222,24799,Short Type,0
Apparel > Shorts,110222,24873,Length,0
Apparel > Socks,110228,18785,Size,1
Apparel > Socks,110228,23041,Age Group,1
Apparel > Socks,110228,22281,Color,0
Apparel > Socks,110228,18787,Gender,0
Apparel > Socks,110228,24435,Sport,1
Apparel > Socks,110228,24848,Number of Pairs,0
Apparel > Socks,110228,24873,Length,0
Apparel > Sunglasses,110229,22281,Color,0
Apparel > Sunglasses,110229,18787,Gender,0
Apparel > Sunglasses,110229,24435,Sport,1
Apparel > Sunglasses,110229,18785,Size,1
Apparel > Sunglasses,110229,23041,Age Group,1
Apparel > Sunglasses,110229,24841,Lens Type,0
Apparel > Sweatshirts & Hoodies,110227,18785,Size,1
Apparel > Sweatshirts & Hoodies,110227,23041,Age Group,1
Apparel > Sweatshirts & Hoodies,110227,22281,Color,0
Apparel > Sweatshirts & Hoodies,110227,18787,Gender,0
Apparel > Sweatshirts & Hoodies,110227,24435,Sport,1
Apparel > Sweatshirts & Hoodies,110227,24834,Team Issued,0
Apparel > Sweatshirts & Hoodies,110227,24837,Clothing Style,0
Apparel > Sweatshirts & Hoodies,110227,24811,Type,0
Apparel > Sweatshirts & Hoodies,110227,24844,Hooded,0
Apparel > Swimsuits,110615,18785,Size,1
Apparel > Swimsuits,110615,23041,Age Group,1
Apparel > Swimsuits,110615,22281,Color,0
Apparel > Swimsuits,110615,18787,Gender,0
Apparel > Vests,110240,18785,Size,1
Apparel > Vests,110240,23041,Age Group,1
Apparel > Vests,110240,22281,Color,0
Apparel > Vests,110240,18787,Gender,0
Apparel > Vests,110240,24435,Sport,1
Apparel > Vests,110240,24834,Team Issued,0
Apparel > Vests,110240,24837,Clothing Style,0
Apparel > Vests,110240,24811,Type,0
Apparel > Winter Gloves,110226,18785,Size,1
Apparel > Winter Gloves,110226,23041,Age Group,1
Apparel > Winter Gloves,110226,22281,Color,0
Apparel > Winter Gloves,110226,18787,Gender,0
Apparel > Winter Gloves,110226,24435,Sport,1
Baseball > Accessories & Other > Sunglasses,110064,18785,Size,1
Baseball > Accessories & Other > Sunglasses,110064,18787,Gender,0
Baseball > Accessories & Other > Sunglasses,110064,23041,Age Group,1
