DCSname,uuid,CATss,CAT
Disc Golf/Bag',d6670c0b-88da-43e6-8814-8e05f177cc5e,Disc Golf > Bags & Caddies,"Misc',"
Electronic/Audio',,,"Misc',"
Electronic/Camera/Accessory',,,"Misc',"
Eyewear/Goggles/Accessory',,,"Outerwear/Goggles/Accessory',"
Eyewear/Goggles/Moto',,,"Outerwear/Goggles/Accessory',"
Eyewear/Goggles/Rep. Lens',,,"Outerwear/Goggles/Accessory',"
Eyewear/Goggles/Unisex',06c086f0-2ed4-4cd3-a976-457b81875255,Skiing > Goggles,"Outerwear/Goggles/Adult',"
Eyewear/Goggles/Womens',06c086f0-2ed4-4cd3-a976-457b81875255,Skiing > Goggles,"Outerwear/Goggles/Women',"
Eyewear/Goggles/Youth',06c086f0-2ed4-4cd3-a976-457b81875255,Skiing > Goggles,"Outerwear/Goggles/Youth',"
Eyewear/Sunglasses/Accessory',d58a823e-ea2c-4399-8c11-6935a49f01f9,Apparel > Sunglasses,"Lifestyle/Sunglasses/Accessory',"
Eyewear/Sunglasses/Unisex',d58a823e-ea2c-4399-8c11-6935a49f01f9,Apparel > Sunglasses,"Lifestyle/Sunglasses/Unisex',"
Eyewear/Sunglasses/Womens',d58a823e-ea2c-4399-8c11-6935a49f01f9,Apparel > Sunglasses,"Lifestyle/Sunglasses/Womens',"
Headwear/Beanie',1f3f253f-0a38-4086-b377-d8de76e2552a,Skiing > Apparel & Outerwear > Hats,"Outerwear/Headwear/Beanie',"
Headwear/Facemask',,,"Outerwear/Headwear/Facemask',"
Headwear/Hat',25a5eb58-b6eb-4afe-a923-39372221e56a,Apparel > Hats,"Lifestyle/Accessory',"
Hike/Pack/Accessory',02c9b15d-60bf-400b-84d1-46dc954989d0,Hike & Camp > Other,"Lifestyle/Accessory',"
Hike/Pack/Hydration',27abfb4f-3e6a-4513-801d-fc25e0164c6f,Hike & Camp > Backpacks,"Lifestyle/Accessory',"
Hike/Pack/Map/Book',,,"Lifestyle/Accessory',"
Hike/Pack/Mens/Shoes',4a15f280-bd7f-4bd2-bdf3-4e9086829d2d,Hike & Camp > Hiking Boots & Shoes,"Lifestyle/Men/Shoes',"
Hike/Pack/Womens/Shoes',4a15f280-bd7f-4bd2-bdf3-4e9086829d2d,Hike & Camp > Hiking Boots & Shoes,"Lifestyle/Women/Shoes',"
Kayak/Accessory',,,"Watersport/Kayak',"
Lifejacket/Neoprene/Dog',e7e1db54-2714-4b3d-94e9-d77ea453a333,"Surf, Wake & Water Sports > Life Jackets","Watersport/Life Jackets/Dog',"
Lifejacket/Neoprene/Men',e7e1db54-2714-4b3d-94e9-d77ea453a333,"Surf, Wake & Water Sports > Life Jackets","Watersport/Life Jackets/Men',"
Lifejacket/Neoprene/Womens',e7e1db54-2714-4b3d-94e9-d77ea453a333,"Surf, Wake & Water Sports > Life Jackets","Watersport/Life Jackets/Women',"
Lifejacket/Neoprene/Youth',e7e1db54-2714-4b3d-94e9-d77ea453a333,"Surf, Wake & Water Sports > Life Jackets","Watersport/Life Jackets/Youth',"
Lifejacket/Nylon/Men',e7e1db54-2714-4b3d-94e9-d77ea453a333,"Surf, Wake & Water Sports > Life Jackets","Watersport/Life Jackets/Men',"
Lifejacket/Nylon/Womens',e7e1db54-2714-4b3d-94e9-d77ea453a333,"Surf, Wake & Water Sports > Life Jackets","Watersport/Life Jackets/Women',"
Lifejacket/Nylon/Youth',e7e1db54-2714-4b3d-94e9-d77ea453a333,"Surf, Wake & Water Sports > Life Jackets","Watersport/Life Jackets/Youth',"
Mens/Baselayer/Bottom',bafa1091-fb7f-4f77-95cc-ea0e288897d6,Skiing > Apparel & Outerwear > Base Layers,"Outerwear/Base Layer/Men',"
Mens/Baselayer/Suit',bafa1091-fb7f-4f77-95cc-ea0e288897d6,Skiing > Apparel & Outerwear > Base Layers,"Outerwear/Base Layer/Men',"
Mens/Baselayer/Top',bafa1091-fb7f-4f77-95cc-ea0e288897d6,Skiing > Apparel & Outerwear > Base Layers,"Outerwear/Base Layer/Men',"
Mens/Lifestyle/Accessory',c56cd2dc-3e19-430c-ae53-3007408d4040,Apparel > Other,"Lifestyle/Men/Accessory',"
Mens/Lifestyle/Bag',7487eb43-eae7-4c64-ab43-682810aa71e3,Apparel > Backpacks & Bags,"Lifestyle/Men/Accessory',"
Mens/Lifestyle/Jacket',ef55e795-41f6-4132-8580-630409e6a158,Apparel > Jackets & Coats,"Lifestyle/Men/Jacket',"
Mens/Lifestyle/Pants',72427126-4874-48eb-a31c-29ee1a7b7a3b,Apparel > Pants,"Lifestyle/Men/Pants',"
Mens/Lifestyle/Shoes',0afa7c6e-08da-4654-875e-f38e3e63be62,"Footwear > Turfs, Indoor, Sneakers & Training","Lifestyle/Men/Shoes',"
Mens/Lifestyle/Shorts',4ead05ea-264a-487b-800a-e60255bf109f,Apparel > Shorts,"Lifestyle/Men/Shorts',"
Mens/Lifestyle/Top',42b1a293-c06b-4b44-b0b9-04f49e809e57,Apparel > Shirts,"Lifestyle/Men/Tops',"
Mens/Midlayer',16a1a4eb-882b-4563-b4bd-285add085a39,Apparel > Base Layers & Compression,"Outerwear/Midlayer/Men',"
Mens/Outerwear/Gloves',d962d3d4-623c-4b43-8324-d7d4aa69466d,Skiing > Apparel & Outerwear > Gloves & Mittens,"Outerwear/Gloves/Men',"
Mens/Outerwear/Jackets',c101d61d-eaeb-4b55-af1b-6d4c42f6d942,Skiing > Apparel & Outerwear > Jackets & Coats,"Outerwear/Jacket/Men',"
Mens/Outerwear/Mittens',d962d3d4-623c-4b43-8324-d7d4aa69466d,Skiing > Apparel & Outerwear > Gloves & Mittens,"Outerwear/Gloves/Women',"
Mens/Outerwear/Pants',72427126-4874-48eb-a31c-29ee1a7b7a3b,Apparel > Pants,"Outerwear/Pants/Men',"
Mens/Outerwear/Suit',,,"Outerwear/Suit',"
Mens/Swimwear/Shorts',"b206bbc5-7ee6-4a3d-9d9f-2f3cb6cb8449	",Apparel > Swimsuits,"Lifestyle/Men/Shorts',"
Race/Night',,,"Misc',"
Safety/Avalanche/Probe',1768df28-72ae-4f98-9ed4-a4223bf8805e,"Skiing > Training, Accessories, Backcountry & Other > Avalanche Safety Gear","Misc',"
Safety/Avalanche/Shovel',1768df28-72ae-4f98-9ed4-a4223bf8805e,"Skiing > Training, Accessories, Backcountry & Other > Avalanche Safety Gear","Misc',"
Safety/Avalanche/Tranceiver',1768df28-72ae-4f98-9ed4-a4223bf8805e,"Skiing > Training, Accessories, Backcountry & Other > Avalanche Safety Gear","Misc',"
Safety/Helmet/Skate',,,"Skate/Helmets',"
Safety/Helmet/Ski',c9f4632b-7497-46b3-8243-97d0855a2313,Skiing > Helmets,"Ski/Helmets',"
Safety/Helmet/Wakeboard',,,"Watersport/Wakeboard/Accessory',"
Safety/Pad/Skate',,,"Skate/Accessory',"
Safety/Pad/Snow',cfd33ce4-7b67-4005-a639-100eea0ffd09,"Snowboarding > Training, Accessories, Backcountry & Other > Other","Snowboard/Accessory',"
Safety/Race/Ski',5a7ec962-9aa7-4ef2-a63d-7146d7a115c2,"Skiing > Training, Accessories, Backcountry & Other > Other","Ski/Accessory',"
Skateboard/Accessory',,,"Skate/Accessory',"
Skateboard/Bearings',,,"Skate/Bearings',"
Skateboard/Complete/Street',,,"Skate/Completes',"
Skateboard/Completes/Long Board',,,"Skate/Completes',"
Skateboard/Deck/Street',,,"Skate/Decks',"
Skateboard/Griptape',,,"Skate/Accessory',"
Skateboard/Hardware',,,"Skate/Accessory',"
Skateboard/Shoes/Mens',,,"Skate/Shoes/Men',"
Skateboard/Shoes/Womens',,,"Skate/Shoes/Women',"
Skateboard/Trucks/Street',,,"Skate/Trucks',"
Skateboard/Wheels/Longboard',,,"Skate/Wheels',"
Skateboard/Wheels/Street',,,"Skate/Wheels',"
Ski/Accessory',5a7ec962-9aa7-4ef2-a63d-7146d7a115c2,"Skiing > Training, Accessories, Backcountry & Other > Other","Ski/Accessory',"
Ski/Accessory/Insoles',5a7ec962-9aa7-4ef2-a63d-7146d7a115c2,"Skiing > Training, Accessories, Backcountry & Other > Other","Ski/Accessory',"
Ski/Bags/Backpack',1b5926a2-d416-4ede-ab70-762909defc48,Skiing > Skiing Bags & Packs > Backpacks,"Ski/Accessory',"
Ski/Bags/Boot',a6ad19e5-8594-44a8-b89b-8c3497ab77ed,Skiing > Skiing Bags & Packs > Boot Bags,"Ski/Accessory',"
Ski/Bags/Outerwear/',,,"Ski/Accessory',"
Ski/Bags/Ski',732896ac-68c2-4bf0-87c2-af19c14e0088,Skiing > Skiing Bags & Packs > Ski Bags,"Ski/Accessory',"
